Chart Name,System,KPI
FDDA1-01,PAU-2M-02,61
FDDA1-01,AHU-8-03,8
FDDA1-01,AHU-2M-06,4
FDDA1-01,AHU-2M-02,3
FDDA1-01,AHU-8-02,3
FDDA1-01,PAU-2M-01,3
FDDA1-01,AHU-8-01,1
FDDA1-01,AHU-2-01,0
FDDA1-01,AHU-2M-03,0
FDDA1-01,AHU-2M-07,0
FDDA1-01,AHU-2M-08,0
FDDA1-01,AHU-3-01,0
FDDA1-01,AHU-3-02,0
FDDA1-01,AHU-5-01,0
FDDA1-01,AHU-5-02,0
FDDA1-01,AHU-7-01,0
FDDA1-01,AHU-7-02,0
FDDA1-01,AHU-7-05,0
FDDA1-01,AHU-7-06,0
FDDA1-01,AHU-9-01,0
FDDA1-01,AHU-9-02,0
FDDA1-01,PAU-3-01,0
FDDA1-02,AHU-3-01,100
FDDA1-02,AHU-8-03,100
FDDA1-02,AHU-2M-02,71
FDDA1-02,AHU-7-03,62
FDDA1-02,AHU-7-06,35
FDDA1-02,AHU-2M-03,20
FDDA1-02,AHU-5-01,4
FDDA1-02,AHU-5-02,4
FDDA1-02,AHU-2M-06,3
FDDA1-02,AHU-7-04,3
FDDA1-02,AHU-9-02,3
FDDA1-02,AHU-7-02,1
FDDA1-02,AHU-2-01,0
FDDA1-02,AHU-2M-04,0
FDDA1-02,AHU-2M-05,0
FDDA1-02,AHU-2M-07,0
FDDA1-02,AHU-2M-08,0
FDDA1-02,AHU-3-02,0
FDDA1-02,AHU-3-03,0
FDDA1-02,AHU-7-01,0
FDDA1-02,AHU-7-05,0
FDDA1-02,AHU-8-01,0
FDDA1-02,AHU-8-02,0
FDDA1-02,AHU-9-01,0
FDDA1-02,PAU-2M-01,0
FDDA1-02,PAU-2M-02,0
FDDA1-02,PAU-3-01,0
FDDA1-03,AHU-2M-01,48
FDDA1-03,AHU-2M-04,0
FDDA1-03,AHU-2M-05,0
FDDA1-03,AHU-3-03,0
FDDA1-03,AHU-7-03,0
FDDA1-03,AHU-7-04,0
FDDA1-04,AHU-2M-04,64
FDDA1-04,AHU-2M-05,37
FDDA1-04,AHU-2-01,22
FDDA1-04,AHU-7-04,3
FDDA1-04,AHU-3-03,0
FDDA1-04,AHU-7-03,0
FDDA1-04,AHU-9-02,0
FDDA1-05,AHU-7-04,96
FDDA1-05,AHU-2M-08,0
FDDA1-05,AHU-3-03,0
FDDA1-05,AHU-7-03,0
FDDA2-10,PAU-2M-01,0
FDDA2-10,PAU-2M-02,0
FDDA2-10,PAU-3-01,0
FDDA2-11,AHU-5-01,17
FDDA2-11,AHU-2M-02,15
FDDA2-11,AHU-8-01,7
FDDA2-11,AHU-7-04,2
FDDA2-11,AHU-5-02,1
FDDA2-11,AHU-2-01,0
FDDA2-11,AHU-2M-03,0
FDDA2-11,AHU-2M-04,0
FDDA2-11,AHU-2M-05,0
FDDA2-11,AHU-2M-06,0
FDDA2-11,AHU-2M-07,0
FDDA2-11,AHU-2M-08,0
FDDA2-11,AHU-3-01,0
FDDA2-11,AHU-3-02,0
FDDA2-11,AHU-3-03,0
FDDA2-11,AHU-7-01,0
FDDA2-11,AHU-7-02,0
FDDA2-11,AHU-7-03,0
FDDA2-11,AHU-7-05,0
FDDA2-11,AHU-7-06,0
FDDA2-11,AHU-8-02,0
FDDA2-11,AHU-8-03,0
FDDA2-11,AHU-9-01,0
FDDA2-11,AHU-9-02,0
FDDA2-12,AHU-7-04,50
FDDA2-12,AHU-3-03,0
FDDA2-12,AHU-7-03,0
FDDA2-01,PAU-2M-01,99
FDDA2-01,AHU-8-01,1
FDDA2-01,AHU-2-01,0
FDDA2-01,AHU-2M-01,0
