Chart Name,System,KPI
FDDA1-01,PAU-2M-02,97
FDDA1-01,AHU-2M-02,57
FDDA1-01,PAU-2M-01,40
FDDA1-01,AHU-8-03,39
FDDA1-01,AHU-2M-06,36
FDDA1-01,AHU-2M-03,22
FDDA1-01,AHU-3-01,18
FDDA1-01,AHU-8-01,13
FDDA1-01,AHU-8-02,11
FDDA1-01,AHU-3-02,9
FDDA1-01,AHU-7-05,3
FDDA1-01,AHU-9-01,3
FDDA1-01,AHU-2-01,2
FDDA1-01,AHU-2M-07,2
FDDA1-01,AHU-2M-08,2
FDDA1-01,AHU-7-02,2
FDDA1-01,PAU-3-01,2
FDDA1-01,AHU-7-01,1
FDDA1-01,AHU-9-02,1
FDDA1-01,AHU-5-01,0
FDDA1-01,AHU-5-02,0
FDDA1-01,AHU-7-06,0
FDDA1-02,AHU-8-03,100
FDDA1-02,AHU-3-01,99
FDDA1-02,AHU-7-03,85
FDDA1-02,AHU-2M-03,78
FDDA1-02,AHU-7-06,72
FDDA1-02,AHU-2M-02,70
FDDA1-02,AHU-2M-07,53
FDDA1-02,AHU-2M-06,44
FDDA1-02,AHU-8-02,44
FDDA1-02,AHU-5-01,20
FDDA1-02,AHU-7-02,20
FDDA1-02,AHU-5-02,6
FDDA1-02,PAU-2M-01,6
FDDA1-02,AHU-7-04,3
FDDA1-02,AHU-9-01,2
FDDA1-02,AHU-9-02,2
FDDA1-02,AHU-2-01,0
FDDA1-02,AHU-2M-04,0
FDDA1-02,AHU-2M-05,0
FDDA1-02,AHU-2M-08,0
FDDA1-02,AHU-3-02,0
FDDA1-02,AHU-3-03,0
FDDA1-02,AHU-7-01,0
FDDA1-02,AHU-7-05,0
FDDA1-02,AHU-8-01,0
FDDA1-02,PAU-2M-02,0
FDDA1-02,PAU-3-01,0
FDDA1-03,AHU-2M-01,58
FDDA1-03,AHU-3-03,23
FDDA1-03,AHU-2M-04,0
FDDA1-03,AHU-2M-05,0
FDDA1-03,AHU-7-03,0
FDDA1-03,AHU-7-04,0
FDDA1-04,AHU-2M-04,97
FDDA1-04,AHU-2M-05,63
FDDA1-04,AHU-7-04,25
FDDA1-04,AHU-2-01,10
FDDA1-04,AHU-7-03,3
FDDA1-04,AHU-3-03,0
FDDA1-04,AHU-9-02,0
FDDA1-05,AHU-7-04,100
